id	dt	amount	product_id
1	2017-10-10T10:01:12	343.33	1
2	2017-10-01T10:02:12	10	2
3	2017-09-01T10:03:12	344.3	1
4	2017-10-01T10:04:12	12	3
5	2017-10-01T10:05:12	66.5	1
6	2017-06-01T10:06:12	1	4
7	2017-08-01T10:01:12	343.33	1
8	2017-10-01T10:02:12	12	2
9	2017-09-01T10:03:12	344.3	1
10	2017-10-01T10:04:12	12	3
11	2017-10-01T10:05:12	66.5	1
12	2017-09-01T10:06:12	1	4
13	2017-09-01T10:01:12	343.33	1
14	2017-09-01T10:02:12	12	2
15	2017-10-01T10:03:12	344.3	1
16	2017-04-01T10:04:12	12	3
17	2017-05-01T10:05:12	66.5	1
18	2017-06-01T10:06:12	1	4
19	2017-02-01T10:01:12	343.33	1
20	2017-02-01T10:02:12	12	2
21	2017-03-01T10:03:12	344.3	1
22	2017-04-01T10:04:12	12	3
23	2017-05-01T10:05:12	66.5	1
24	2017-06-01T10:06:12	1	4
25	2017-10-01T10:06:12	1	6
28	2017-09-01T10:06:12	1	7
29	2017-09-01T10:06:12	1	6
30	2017-04-01T10:06:12	6	2
